nose:
  Frame 332: x=0.5240, y=0.2191, z=-0.3649
  Frame 333: x=0.5233, y=0.2191, z=-0.3865
  Frame 334: x=0.5230, y=0.2190, z=-0.3859
  Frame 335: x=0.5215, y=0.2190, z=-0.3756
  Frame 336: x=0.5202, y=0.2192, z=-0.3762
  Frame 337: x=0.5179, y=0.2208, z=-0.3693
  Frame 338: x=0.5153, y=0.2226, z=-0.3655
  Frame 339: x=0.5125, y=0.2236, z=-0.3478
  Frame 340: x=0.5118, y=0.2243, z=-0.3482
  Frame 341: x=0.5092, y=0.2250, z=-0.3399
  Frame 342: x=0.5059, y=0.2252, z=-0.3236
  Frame 343: x=0.5031, y=0.2254, z=-0.3261
  Frame 344: x=0.5010, y=0.2253, z=-0.3291
  Frame 345: x=0.4983, y=0.2253, z=-0.3315
  Frame 346: x=0.4977, y=0.2253, z=-0.3474
  Frame 347: x=0.4958, y=0.2254, z=-0.3378
  Frame 348: x=0.4933, y=0.2260, z=-0.3275
  Frame 349: x=0.4917, y=0.2263, z=-0.3213
  Frame 350: x=0.4904, y=0.2265, z=-0.3102
  Frame 351: x=0.4892, y=0.2265, z=-0.3103
  Frame 352: x=0.4896, y=0.2262, z=-0.3142
  Frame 353: x=0.4903, y=0.2261, z=-0.3168
  Frame 354: x=0.4906, y=0.2257, z=-0.3205
  Frame 355: x=0.4907, y=0.2252, z=-0.3318
  Frame 356: x=0.4904, y=0.2251, z=-0.3370
  Frame 357: x=0.4900, y=0.2251, z=-0.3302
  Frame 358: x=0.4898, y=0.2251, z=-0.3193
  Frame 359: x=0.4896, y=0.2255, z=-0.3149
  Frame 360: x=0.4894, y=0.2265, z=-0.3032
  Frame 361: x=0.4892, y=0.2274, z=-0.3057
  Frame 362: x=0.4893, y=0.2276, z=-0.3064
  Frame 363: x=0.4890, y=0.2276, z=-0.3086

left_eye:
  Frame 0: x=0.4993, y=0.3012, z=-0.2447
  Frame 1: x=0.4994, y=0.3133, z=-0.2615
  Frame 2: x=0.4997, y=0.3207, z=-0.2745
  Frame 3: x=0.5005, y=0.3209, z=-0.2678
  Frame 4: x=0.5010, y=0.3211, z=-0.2663
  Frame 5: x=0.5011, y=0.3207, z=-0.2719
  Frame 6: x=0.5012, y=0.3096, z=-0.2987
  Frame 7: x=0.4999, y=0.2987, z=-0.3449
  Frame 8: x=0.4963, y=0.2882, z=-0.3611
  Frame 9: x=0.4898, y=0.2801, z=-0.3581
  Frame 10: x=0.4885, y=0.2803, z=-0.3332
  Frame 11: x=0.4836, y=0.2827, z=-0.3651
  Frame 12: x=0.4770, y=0.2816, z=-0.3880
  Frame 13: x=0.4675, y=0.2826, z=-0.3644
  Frame 14: x=0.4617, y=0.2837, z=-0.3567
  Frame 15: x=0.4536, y=0.2833, z=-0.3007
  Frame 16: x=0.4532, y=0.2838, z=-0.3146
  Frame 17: x=0.4484, y=0.2861, z=-0.2814
  Frame 18: x=0.4434, y=0.2907, z=-0.2163
  Frame 19: x=0.4384, y=0.3013, z=-0.2171
  Frame 20: x=0.4353, y=0.3146, z=-0.2413
  Frame 21: x=0.4336, y=0.3214, z=-0.3018
  Frame 22: x=0.4324, y=0.3207, z=-0.2747
  Frame 23: x=0.4309, y=0.3225, z=-0.2618
  Frame 24: x=0.4295, y=0.3194, z=-0.2444
  Frame 25: x=0.4301, y=0.3183, z=-0.2646
  Frame 26: x=0.4311, y=0.3070, z=-0.3214
  Frame 27: x=0.4325, y=0.2912, z=-0.3671
  Frame 28: x=0.4334, y=0.2859, z=-0.3548
  Frame 29: x=0.4376, y=0.2795, z=-0.3610
  Frame 30: x=0.4473, y=0.2757, z=-0.3726
  Frame 31: x=0.4577, y=0.2733, z=-0.3483
  Frame 32: x=0.4655, y=0.2719, z=-0.3533
  Frame 33: x=0.4720, y=0.2741, z=-0.4229
  Frame 34: x=0.4733, y=0.2750, z=-0.4406
  Frame 35: x=0.4776, y=0.2758, z=-0.4510
  Frame 36: x=0.4807, y=0.2776, z=-0.4239
  Frame 37: x=0.4871, y=0.2830, z=-0.3103
  Frame 38: x=0.4914, y=0.2974, z=-0.2265
  Frame 39: x=0.4963, y=0.3102, z=-0.1970
  Frame 40: x=0.4973, y=0.3154, z=-0.2627
  Frame 41: x=0.5012, y=0.3236, z=-0.2660
  Frame 42: x=0.5044, y=0.3310, z=-0.2742
  Frame 43: x=0.5070, y=0.3302, z=-0.2819
  Frame 44: x=0.5091, y=0.3251, z=-0.2670
  Frame 45: x=0.5101, y=0.3189, z=-0.2694
  Frame 46: x=0.5111, y=0.3121, z=-0.2642
  Frame 47: x=0.5121, y=0.2952, z=-0.2827
  Frame 48: x=0.5145, y=0.2732, z=-0.3087
  Frame 49: x=0.5140, y=0.2577, z=-0.3156
  Frame 50: x=0.5135, y=0.2461, z=-0.3123
  Frame 51: x=0.5122, y=0.2394, z=-0.3097
  Frame 52: x=0.5116, y=0.2399, z=-0.3083
  Frame 53: x=0.5114, y=0.2410, z=-0.3230
  Frame 54: x=0.5088, y=0.2413, z=-0.3398
  Frame 55: x=0.5040, y=0.2438, z=-0.3568
  Frame 56: x=0.4940, y=0.2469, z=-0.3789
  Frame 57: x=0.4859, y=0.2484, z=-0.3703
  Frame 58: x=0.4828, y=0.2495, z=-0.3625
  Frame 59: x=0.4783, y=0.2575, z=-0.3544
  Frame 60: x=0.4698, y=0.2704, z=-0.2979
  Frame 61: x=0.4630, y=0.2897, z=-0.2826
  Frame 62: x=0.4585, y=0.3100, z=-0.2937
  Frame 63: x=0.4535, y=0.3253, z=-0.3054
  Frame 64: x=0.4521, y=0.3304, z=-0.2984
  Frame 65: x=0.4503, y=0.3383, z=-0.2973
  Frame 66: x=0.4506, y=0.3370, z=-0.3183
  Frame 67: x=0.4516, y=0.3275, z=-0.3302
  Frame 68: x=0.4541, y=0.3264, z=-0.3847
  Frame 69: x=0.4557, y=0.3107, z=-0.4288
  Frame 70: x=0.4563, y=0.3074, z=-0.4373
  Frame 71: x=0.4655, y=0.2993, z=-0.3972
  Frame 72: x=0.4734, y=0.2905, z=-0.4242
  Frame 73: x=0.4821, y=0.2802, z=-0.4457
  Frame 74: x=0.4890, y=0.2825, z=-0.4680
  Frame 75: x=0.4938, y=0.2845, z=-0.4719
  Frame 76: x=0.4954, y=0.2857, z=-0.4710
  Frame 77: x=0.5009, y=0.2866, z=-0.4527
  Frame 78: x=0.5073, y=0.2916, z=-0.2712
  Frame 79: x=0.5137, y=0.2983, z=-0.2056
  Frame 80: x=0.5178, y=0.3064, z=-0.2349
  Frame 81: x=0.5229, y=0.3170, z=-0.2412
  Frame 82: x=0.5241, y=0.3213, z=-0.2271
  Frame 83: x=0.5264, y=0.3295, z=-0.2498
  Frame 84: x=0.5294, y=0.3347, z=-0.2729
  Frame 85: x=0.5319, y=0.3330, z=-0.2513
  Frame 86: x=0.5332, y=0.3304, z=-0.2672
  Frame 87: x=0.5361, y=0.3043, z=-0.2279
  Frame 88: x=0.5359, y=0.2995, z=-0.2298
  Frame 89: x=0.5357, y=0.2813, z=-0.2442
  Frame 90: x=0.5360, y=0.2593, z=-0.2492
  Frame 91: x=0.5363, y=0.2460, z=-0.2987
  Frame 92: x=0.5351, y=0.2387, z=-0.3027
  Frame 93: x=0.5344, y=0.2306, z=-0.3251
  Frame 94: x=0.5342, y=0.2288, z=-0.3432
  Frame 95: x=0.5316, y=0.2299, z=-0.3502
  Frame 96: x=0.5262, y=0.2322, z=-0.3704
  Frame 97: x=0.5185, y=0.2335, z=-0.3617
  Frame 98: x=0.5104, y=0.2310, z=-0.3444
  Frame 99: x=0.5036, y=0.2335, z=-0.3458
  Frame 100: x=0.5024, y=0.2341, z=-0.3360
  Frame 101: x=0.4973, y=0.2356, z=-0.3299
  Frame 102: x=0.4909, y=0.2467, z=-0.3468
  Frame 103: x=0.4841, y=0.2583, z=-0.3459
  Frame 104: x=0.4793, y=0.2716, z=-0.3105
  Frame 105: x=0.4730, y=0.2834, z=-0.3122
  Frame 106: x=0.4722, y=0.2868, z=-0.3121
  Frame 107: x=0.4701, y=0.2882, z=-0.3275
  Frame 108: x=0.4688, y=0.2838, z=-0.3309
  Frame 109: x=0.4681, y=0.2829, z=-0.3021
  Frame 110: x=0.4688, y=0.2742, z=-0.3131
  Frame 111: x=0.4706, y=0.2658, z=-0.3698
  Frame 112: x=0.4719, y=0.2641, z=-0.3550
  Frame 113: x=0.4728, y=0.2628, z=-0.3499
