nose:
  Frame 74: x=0.5052, y=0.2609, z=0.0143
  Frame 75: x=0.5054, y=0.2622, z=0.0076
  Frame 76: x=0.5049, y=0.2769, z=-0.0114
  Frame 77: x=0.5044, y=0.2889, z=0.0022
  Frame 78: x=0.5038, y=0.2912, z=0.0062
  Frame 79: x=0.5035, y=0.3024, z=-0.0304

shoulder_left:
  Frame 0: x=0.5087, y=0.4012, z=0.0915
  Frame 1: x=0.5084, y=0.4010, z=0.0909
  Frame 2: x=0.5083, y=0.4008, z=0.0875
  Frame 3: x=0.5082, y=0.4007, z=0.0879
  Frame 4: x=0.5085, y=0.4005, z=0.0784
  Frame 5: x=0.5092, y=0.4007, z=0.0663
  Frame 6: x=0.5096, y=0.4007, z=0.0666
  Frame 7: x=0.5127, y=0.4008, z=0.0218
  Frame 8: x=0.5142, y=0.4011, z=-0.0368
  Frame 9: x=0.5148, y=0.4013, z=-0.0461
  Frame 10: x=0.5157, y=0.4000, z=-0.0483
  Frame 11: x=0.5152, y=0.3969, z=-0.0154
  Frame 12: x=0.5148, y=0.3956, z=-0.0120
  Frame 13: x=0.5013, y=0.3789, z=-0.1023
  Frame 14: x=0.4946, y=0.3703, z=-0.1271
  Frame 15: x=0.4953, y=0.3693, z=-0.1226
  Frame 16: x=0.4665, y=0.3513, z=-0.1036
  Frame 17: x=0.4591, y=0.3437, z=-0.0543
  Frame 18: x=0.4583, y=0.3439, z=-0.0502
  Frame 19: x=0.4592, y=0.3419, z=0.0788
  Frame 20: x=0.4649, y=0.3379, z=0.1204
  Frame 21: x=0.4656, y=0.3387, z=0.1057
  Frame 22: x=0.4948, y=0.3436, z=0.0737
  Frame 23: x=0.5054, y=0.3457, z=0.0648
  Frame 24: x=0.5060, y=0.3477, z=0.0626
  Frame 25: x=0.5150, y=0.3489, z=0.0548
  Frame 26: x=0.5172, y=0.3499, z=0.0264
  Frame 27: x=0.5177, y=0.3504, z=0.0253
  Frame 28: x=0.5240, y=0.3463, z=-0.0122
  Frame 29: x=0.5240, y=0.3444, z=-0.0076
  Frame 30: x=0.5239, y=0.3439, z=-0.0093
  Frame 31: x=0.5171, y=0.3370, z=-0.0761
  Frame 32: x=0.4988, y=0.3318, z=-0.0881
  Frame 33: x=0.4950, y=0.3301, z=-0.0935
  Frame 34: x=0.4690, y=0.3330, z=-0.0846
  Frame 35: x=0.4623, y=0.3341, z=-0.0157
  Frame 36: x=0.4618, y=0.3350, z=-0.0044
  Frame 37: x=0.4605, y=0.3355, z=0.1093
  Frame 38: x=0.4694, y=0.3267, z=0.1212
  Frame 39: x=0.4722, y=0.3237, z=0.1076
  Frame 40: x=0.4919, y=0.3333, z=0.1027
  Frame 41: x=0.4986, y=0.3412, z=0.0997
  Frame 42: x=0.5001, y=0.3438, z=0.1004
  Frame 43: x=0.5177, y=0.3468, z=0.0333
  Frame 44: x=0.5229, y=0.3457, z=0.0196
  Frame 45: x=0.5234, y=0.3450, z=0.0162
  Frame 46: x=0.5230, y=0.3400, z=0.0104
  Frame 47: x=0.5187, y=0.3356, z=-0.0182
  Frame 48: x=0.5173, y=0.3344, z=-0.0236
  Frame 49: x=0.4968, y=0.3342, z=-0.0596
  Frame 50: x=0.4869, y=0.3332, z=-0.1166
  Frame 51: x=0.4852, y=0.3325, z=-0.1259
  Frame 52: x=0.4648, y=0.3316, z=-0.0316
  Frame 53: x=0.4599, y=0.3319, z=0.0291
  Frame 54: x=0.4595, y=0.3320, z=0.0283
  Frame 55: x=0.4635, y=0.3335, z=0.1225
  Frame 56: x=0.4873, y=0.3264, z=0.0907
  Frame 57: x=0.4877, y=0.3246, z=0.0958
  Frame 58: x=0.4966, y=0.3356, z=0.0953
  Frame 59: x=0.5076, y=0.3388, z=0.1183
  Frame 60: x=0.5095, y=0.3414, z=0.1115
  Frame 61: x=0.5226, y=0.3416, z=0.0023
  Frame 62: x=0.5264, y=0.3411, z=-0.0268
  Frame 63: x=0.5272, y=0.3408, z=-0.0137
  Frame 64: x=0.5261, y=0.3377, z=0.0031
  Frame 65: x=0.5213, y=0.3329, z=-0.0317
  Frame 66: x=0.5201, y=0.3311, z=-0.0292
  Frame 67: x=0.5042, y=0.3281, z=-0.0677
  Frame 68: x=0.4866, y=0.3287, z=-0.1035
  Frame 69: x=0.4851, y=0.3293, z=-0.1096
  Frame 70: x=0.4689, y=0.3264, z=-0.0588
  Frame 71: x=0.4649, y=0.3251, z=0.0088
  Frame 72: x=0.4642, y=0.3253, z=0.0172
  Frame 73: x=0.4656, y=0.3254, z=0.0581
  Frame 74: x=0.4718, y=0.3257, z=0.1028
  Frame 75: x=0.4729, y=0.3259, z=0.0974
  Frame 76: x=0.4862, y=0.3370, z=0.1421
  Frame 77: x=0.4985, y=0.3646, z=0.1707
  Frame 78: x=0.4973, y=0.3667, z=0.1784
  Frame 79: x=0.5141, y=0.3838, z=0.1213

shoulder_right:
  Frame 0: x=0.4637, y=0.3886, z=0.0079
  Frame 1: x=0.4636, y=0.3888, z=-0.0078
  Frame 2: x=0.4635, y=0.3888, z=-0.0142
  Frame 3: x=0.4634, y=0.3889, z=-0.0120
  Frame 4: x=0.4643, y=0.3889, z=-0.0192
  Frame 5: x=0.4644, y=0.3890, z=-0.0243
  Frame 6: x=0.4644, y=0.3891, z=-0.0230
