nose:
  Frame 290: x=0.4654, y=0.2054, z=-0.2388
  Frame 291: x=0.4699, y=0.2062, z=-0.2306
  Frame 292: x=0.4744, y=0.2082, z=-0.2401
  Frame 293: x=0.4782, y=0.2102, z=-0.2266
  Frame 294: x=0.4792, y=0.2110, z=-0.2208
  Frame 295: x=0.4806, y=0.2112, z=-0.2403
  Frame 296: x=0.4816, y=0.2117, z=-0.2520
  Frame 297: x=0.4832, y=0.2126, z=-0.2553
  Frame 298: x=0.4846, y=0.2140, z=-0.2738
  Frame 299: x=0.4855, y=0.2153, z=-0.2666
  Frame 300: x=0.4858, y=0.2164, z=-0.2674
  Frame 301: x=0.4866, y=0.2170, z=-0.2868
  Frame 302: x=0.4869, y=0.2178, z=-0.2908
  Frame 303: x=0.4873, y=0.2182, z=-0.2954
  Frame 304: x=0.4876, y=0.2182, z=-0.2998
  Frame 305: x=0.4879, y=0.2181, z=-0.3089
  Frame 306: x=0.4882, y=0.2181, z=-0.3051
  Frame 307: x=0.4884, y=0.2180, z=-0.3059
  Frame 308: x=0.4887, y=0.2180, z=-0.3083
  Frame 309: x=0.4889, y=0.2179, z=-0.3124
  Frame 310: x=0.4893, y=0.2179, z=-0.3159
  Frame 311: x=0.4894, y=0.2178, z=-0.3195
  Frame 312: x=0.4895, y=0.2178, z=-0.3183
  Frame 313: x=0.4896, y=0.2178, z=-0.3188
  Frame 314: x=0.4897, y=0.2176, z=-0.3169
  Frame 315: x=0.4898, y=0.2175, z=-0.3150
  Frame 316: x=0.4899, y=0.2173, z=-0.3126
  Frame 317: x=0.4899, y=0.2172, z=-0.3122
  Frame 318: x=0.4900, y=0.2171, z=-0.3114
  Frame 319: x=0.4900, y=0.2170, z=-0.3094
  Frame 320: x=0.4900, y=0.2164, z=-0.3050
  Frame 321: x=0.4900, y=0.2160, z=-0.3051
  Frame 322: x=0.4899, y=0.2157, z=-0.3045
  Frame 323: x=0.4899, y=0.2156, z=-0.3004
  Frame 324: x=0.4894, y=0.2156, z=-0.3006
  Frame 325: x=0.4890, y=0.2158, z=-0.3000
  Frame 326: x=0.4884, y=0.2164, z=-0.2980
  Frame 327: x=0.4860, y=0.2186, z=-0.2876
  Frame 328: x=0.4831, y=0.2214, z=-0.2772
  Frame 329: x=0.4814, y=0.2251, z=-0.2779
  Frame 330: x=0.4799, y=0.2267, z=-0.2757
  Frame 331: x=0.4795, y=0.2275, z=-0.2786
  Frame 332: x=0.4794, y=0.2278, z=-0.2756
  Frame 333: x=0.4789, y=0.2275, z=-0.2722
  Frame 334: x=0.4790, y=0.2270, z=-0.2743
  Frame 335: x=0.4791, y=0.2238, z=-0.2683
  Frame 336: x=0.4793, y=0.2217, z=-0.2708
  Frame 337: x=0.4794, y=0.2203, z=-0.2723
  Frame 338: x=0.4795, y=0.2188, z=-0.2731
  Frame 339: x=0.4795, y=0.2172, z=-0.2760
  Frame 340: x=0.4796, y=0.2162, z=-0.2855
  Frame 341: x=0.4796, y=0.2158, z=-0.2891
  Frame 342: x=0.4796, y=0.2135, z=-0.2953
  Frame 343: x=0.4795, y=0.2121, z=-0.2976
  Frame 344: x=0.4795, y=0.2109, z=-0.2990
  Frame 345: x=0.4798, y=0.2098, z=-0.2975
  Frame 346: x=0.4804, y=0.2100, z=-0.2908
  Frame 347: x=0.4814, y=0.2095, z=-0.3010
  Frame 348: x=0.4823, y=0.2088, z=-0.3055
  Frame 349: x=0.4835, y=0.2085, z=-0.3117
  Frame 350: x=0.4841, y=0.2075, z=-0.3365
  Frame 351: x=0.4845, y=0.2067, z=-0.3403
  Frame 352: x=0.4846, y=0.2059, z=-0.3381
  Frame 353: x=0.4848, y=0.2058, z=-0.3342
  Frame 354: x=0.4848, y=0.2058, z=-0.3427
  Frame 355: x=0.4848, y=0.2059, z=-0.3435
  Frame 356: x=0.4844, y=0.2064, z=-0.3283
  Frame 357: x=0.4842, y=0.2081, z=-0.3018
  Frame 358: x=0.4840, y=0.2087, z=-0.2786
  Frame 359: x=0.4841, y=0.2087, z=-0.2776
  Frame 360: x=0.4876, y=0.2075, z=-0.2850
  Frame 361: x=0.4890, y=0.2071, z=-0.2885
  Frame 362: x=0.4895, y=0.2027, z=-0.2916
  Frame 363: x=0.4909, y=0.1965, z=-0.2711
  Frame 364: x=0.4914, y=0.1914, z=-0.2612
  Frame 365: x=0.4918, y=0.1865, z=-0.2565
  Frame 366: x=0.4918, y=0.1839, z=-0.2546
  Frame 367: x=0.4918, y=0.1832, z=-0.2568
  Frame 368: x=0.4917, y=0.1823, z=-0.2368
  Frame 369: x=0.4916, y=0.1819, z=-0.2501
  Frame 370: x=0.4912, y=0.1809, z=-0.2984
  Frame 371: x=0.4900, y=0.1800, z=-0.3108
  Frame 372: x=0.4876, y=0.1801, z=-0.3130
  Frame 373: x=0.4868, y=0.1804, z=-0.3106
  Frame 374: x=0.4856, y=0.1808, z=-0.3123
  Frame 375: x=0.4834, y=0.1809, z=-0.3119
  Frame 376: x=0.4797, y=0.1818, z=-0.3072
  Frame 377: x=0.4784, y=0.1819, z=-0.2968
  Frame 378: x=0.4760, y=0.1820, z=-0.2900
  Frame 379: x=0.4752, y=0.1807, z=-0.2946
  Frame 380: x=0.4732, y=0.1795, z=-0.2939
  Frame 381: x=0.4724, y=0.1791, z=-0.2947
  Frame 382: x=0.4715, y=0.1785, z=-0.2949
  Frame 383: x=0.4711, y=0.1783, z=-0.3062
  Frame 384: x=0.4711, y=0.1779, z=-0.3403
  Frame 385: x=0.4711, y=0.1779, z=-0.3455
  Frame 386: x=0.4711, y=0.1777, z=-0.3405
  Frame 387: x=0.4712, y=0.1771, z=-0.3429
  Frame 388: x=0.4713, y=0.1759, z=-0.3357
  Frame 389: x=0.4715, y=0.1745, z=-0.3323
  Frame 390: x=0.4715, y=0.1742, z=-0.3308
  Frame 391: x=0.4716, y=0.1737, z=-0.3306
  Frame 392: x=0.4723, y=0.1736, z=-0.3263
  Frame 393: x=0.4743, y=0.1738, z=-0.3318
  Frame 394: x=0.4767, y=0.1722, z=-0.3309

left_eye:
  Frame 0: x=0.5411, y=0.1680, z=-0.2013
  Frame 1: x=0.5416, y=0.1681, z=-0.1984
  Frame 2: x=0.5426, y=0.1681, z=-0.1998
  Frame 3: x=0.5435, y=0.1682, z=-0.2052
  Frame 4: x=0.5442, y=0.1685, z=-0.2086
  Frame 5: x=0.5446, y=0.1687, z=-0.2096
  Frame 6: x=0.5449, y=0.1694, z=-0.2205
  Frame 7: x=0.5454, y=0.1721, z=-0.2948
  Frame 8: x=0.5456, y=0.1759, z=-0.3065
  Frame 9: x=0.5456, y=0.1796, z=-0.2984
  Frame 10: x=0.5449, y=0.1790, z=-0.2989
  Frame 11: x=0.5444, y=0.1785, z=-0.2988
  Frame 12: x=0.5416, y=0.1782, z=-0.2864
  Frame 13: x=0.5355, y=0.1774, z=-0.2782
  Frame 14: x=0.5290, y=0.1733, z=-0.2747
  Frame 15: x=0.5213, y=0.1686, z=-0.2462
